CSZJJ,Alt Title
那先經,那先比丘經
舊譬喻經,雜譬喻經
請觀世音經,請觀世音菩薩消伏毒害陀羅尼呪經
菩薩緣身五十事經,菩薩行五十緣身經
菩薩戒經,菩薩地持經
迦葉赴佛泥洹經,迦葉赴佛般涅槃經
目連降龍經,龍王兄弟經
阿難或經,人本欲生經
優陀夷坐樹下寂靜調伏經,雜阿含經
調達問佛顏色經,出曜經
比丘問佛何故捨世學道經,出曜經
瞿曇彌經,瞿曇彌記果經
佛母般泥洹經,大愛道般泥洹經
比丘尼現變經,生經
沙彌尼戒,沙彌尼戒經
弟子為耆域術慢戒經,阿難問事佛吉凶經
魔王入苦宅經,魔嬈亂經
波斯匿王承佛神力到寶坊經,大方等大集經
長者威施所問菩薩修行經,菩薩修行經
長者詣佛說子婦不恭經,玉耶經
長者詣佛說子婦不恭經,玉耶女經
十支居士八城人經,十支居士八城人經
婆羅門子命終愛念不離經,婆羅門子命終愛念不離經
寶女問慧經,寶女所問經
三摩竭經,須摩提女經
摩鄒女經,摩登伽經
摩鄧女經,摩登伽經
尸迦羅越六向拜經,尸迦羅越六方禮經
子命過經,生經
那先經,那先比丘經
申日兜本經,申日兒本經
鸚鵡經,兜調經
菩薩身為鴿王經,六度集經
孔雀經,孔雀王呪經
孔雀經,佛說大金色孔雀王呪經
赤[口*(隹/乃)]烏經,雜譬喻經
牧牛經,放牛經
[狂-王+樂]狗齧王經,猘狗經
鬼問目連經,餓鬼報應經
鐵城泥犁經,閻羅王五天使者經
忍辱經,羅云忍辱經
梵網經,梵網六十二見經
閑居經,悲華經
邪見經,邪見經
積骨經,七處三觀經
腹使經,生經
持齋經,齋經
海八德經,法海經
具善根經,菩薩藏經
未曾有經,甚希有經
不淨觀經,達摩多羅禪經
無母子經,沙彌羅經
無母子經,五母子經
觀世樓炭經,大樓炭經
多增道章經,長阿含十報法經
相應相可經,雜阿含經
前世三轉經,銀色女經
摩訶乘寶嚴經,摩訶衍寶嚴經
精勤四念處經,雜阿含經
人受身入陰經,修行道地經
佛遺日摩尼寶經,大寶積經
佛遺日摩尼寶經,摩訶衍寶嚴經
三劫經,過去莊嚴劫千佛名經
三劫經,現在賢劫千佛名經
三劫經,未來星宿劫千佛名經
十一思惟念如來經,十一想思念如來經
十八不共法經,寶女所問經
阿練若習禪法經,坐禪三昧經
恒河譬經,恒水經
鑄金喻經,雜阿含經
法句譬喻經,法句經
陀羅尼偈,陀羅尼集經
阿彌陀佛偈,後出阿彌陀佛偈
摩訶般若波羅蜜神呪,般若波羅蜜多心經
七佛神呪,虛空藏菩薩問七佛陀羅尼呪經
七佛神呪,如來方便善巧呪經
八吉祥神呪,八吉祥經
持句神呪,東方最勝燈王如來經
阿惟越致轉經,不退轉法輪經
蜀普耀經,普曜經
正法華三昧經,法華三昧經
正法華三昧經,正法華經
不退轉輪經,不退轉法輪經
度無極譬經,摩訶般若波羅蜜經
長阿含經,人本欲生經
長阿含經,尸迦羅越六方禮經
長阿含經,長阿含十報法經
長阿含經,大般涅槃經
長阿含經,佛般泥洹經
長阿含經,般泥洹經
長阿含經,寂志果經
長阿含經,起世經
長阿含經,起世因本經
長阿含經,大樓炭經
長阿含經,中本起經
長阿含經,佛開解梵志阿颰經
長阿含經,梵網六十二見經
法華光瑞菩薩現壽經,正法華經
甘露味阿毘曇,阿毘曇甘露味論
彌勒難經,彌勒菩薩所問本願經
菩薩經,虛空藏菩薩經
菩薩經,菩薩念佛三昧經
加丁比丘經,迦丁比丘說當來變經
恒水不說戒經,恒水經
大沙門羯磨,大沙門百一羯磨法
在家菩薩戒經,優婆塞戒經
在家律儀經,優婆塞戒經
在家律儀經,優婆塞五戒威儀經
魔試目連經,魔嬈亂經
優填王照逝心女經,優填王經
難國王經,須摩提女經
仙歎經,九色鹿經
養牛經,放牛經
放牛法經,放牛經
餓鬼經,餓鬼報應經
閻羅王經,閻羅王五天使者經
苦慧經,阿毘曇五法行經
古來經,古來世時經
度世經,度世品經
緣本經,緣本致經
緣本經,本相猗致經
法藏經,法海經
釋論,大智度論
六足阿毘曇,阿毘達磨法蘊足論
六足阿毘曇,阿毘達磨集異門足論
六足阿毘曇,阿毘達磨識身足論
六足阿毘曇,阿毘達磨界身足論
六足阿毘曇,阿毘達磨品類足論
五陰經,五陰譬喻經
逮慧三昧經,月燈三昧經
禪行斂意經,阿那律八念經
異出四諦經,四諦經
異出菩薩本經,異出菩薩本起經
