CSZJJ,Taisho No.,length,rushiwowen,wenrushi,wowenrushi,rushiwen,not_in_shanzai,ye2_count,er3_count,ye3_count,ye2_final_count,er3_final_count,ye3_final_count,wei4_count,wei4_grammar_count,bei_count,bei_grammar_count,hezhe_count,hedengren_count,cun_count,tian_count,sixiang_count,di_count,di_sense_count,shigu_count,shigu_sense_count,yiqie_count,yiqie_sense_count,error,notes
賢劫經,T 425 (5),13381,False,False,False,False,0,1,8,1,0,0,1,86,85,2,0,0,0,0,0,0,0,0,0,0,0,0,,
賢劫經,T 425 (6),12031,False,False,False,False,1,1,1,3,1,0,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,
賢劫經,T 425 (7),13997,False,False,False,False,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
賢劫經,T 425 (8),12224,False,True,False,False,5,0,0,6,0,0,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
正法華經,T 263 (1),17486,False,True,False,False,3,0,2,4,0,2,3,5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,,
正法華經,T 263 (2),11497,False,True,False,False,3,2,2,9,1,0,9,10,9,7,3,0,0,0,0,0,0,0,0,0,0,0,,
正法華經,T 263 (3),14139,False,True,False,False,1,0,3,7,0,2,6,23,16,2,0,0,0,1,0,0,0,0,0,0,0,0,,
正法華經,T 263 (4),10228,False,False,False,False,3,0,2,7,0,2,8,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,
正法華經,T 263 (5),7976,False,False,False,False,2,1,1,6,1,0,6,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,,
正法華經,T 263 (6),13595,False,False,False,False,9,2,4,8,1,2,8,15,10,7,1,0,0,1,0,0,0,0,0,0,0,0,,
正法華經,T 263 (7),13319,False,False,False,False,5,2,2,8,2,2,5,16,14,7,4,0,0,0,0,0,0,0,0,0,0,0,,
正法華經,T 263 (8),11724,False,False,False,False,0,1,13,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
正法華經,T 263 (9),10823,False,True,False,False,14,2,3,4,2,0,3,3,3,12,4,0,0,0,0,0,0,0,0,0,0,0,,
正法華經,T 263 (10),10005,False,True,False,False,12,1,4,3,1,2,4,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,,
普耀經,T 186 (1),9610,False,True,False,False,3,1,1,1,0,1,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,,
普耀經,T 186 (2),12390,False,False,False,False,1,0,6,1,0,4,0,2,2,7,2,0,0,0,0,0,0,0,0,0,0,0,,
大哀經,T 398 (1),8635,False,True,False,False,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
大哀經,T 398 (2),11289,False,False,False,False,4,0,3,2,0,43,2,49,47,3,3,0,0,0,0,0,0,0,0,0,0,0,,
大哀經,T 398 (3),11089,False,False,False,False,1,0,12,13,0,3,13,42,27,3,3,0,0,0,0,0,0,0,0,0,0,0,,
大哀經,T 398 (4),7044,False,False,False,False,0,0,8,3,0,0,3,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,,
大哀經,T 398 (5),7951,False,False,False,False,0,0,1,4,0,1,1,18,14,2,0,0,0,0,0,0,0,0,0,0,0,0,,
大哀經,T 398 (6),8916,False,False,False,False,1,0,4,6,0,1,6,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,,
大哀經,T 398 (7),7952,False,False,False,False,0,0,3,19,0,0,17,27,27,3,2,0,0,0,0,0,0,0,0,0,0,0,,
大哀經,T 398 (8),9984,False,True,False,False,2,1,1,4,1,0,3,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,,
度世品經,T 292 (1),10628,False,True,False,False,5,0,2,0,0,1,0,80,119,0,0,0,0,0,0,0,0,0,0,0,0,0,,
度世品經,T 292 (2),12878,False,False,False,False,1,1,5,12,1,2,6,60,60,3,0,0,0,0,0,0,0,0,0,0,0,0,,
度世品經,T 292 (3),11408,False,False,False,False,2,0,1,7,0,0,7,60,67,5,1,0,0,0,0,0,0,0,0,0,0,0,,
