taisho_no,total_length,not_in_shanzai_frequency1000,ye2_frequency1000,er3_frequency1000,ye3_frequency1000,wei4_frequency1000,bei_frequency1000,hezhe_frequency1000,hedengren_frequency1000,cun_frequency1000,tian_frequency1000,sixiang_frequency1000,di_frequency1000,shigu_frequency1000,yiqie_frequency1000,century,attribution_analysis
T 338,14860,0.269179004037685,0.3364737550471063,0.13458950201884251,0.269179004037685,0.60565275908479133,0.067294751009421255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 323,14203,0.0,0.0,0.1408153207068929,0.5632612828275716,0.84489192424135751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 817 ,16875,0.77037037037037037,0.059259259259259262,0.29629629629629628,3.3777777777777778,1.4814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 588,61612,0.48691813283126661,0.37330390183730444,0.016230604427708888,0.6329935726806466,1.4445237940660909,0.0,0.0,0.0,0.0,0.032461208855417777,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 588,61612,0.48691813283126661,0.37330390183730444,0.016230604427708888,0.6329935726806466,1.4445237940660909,0.0,0.0,0.0,0.0,0.032461208855417777,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 324 ,11393,0.35109277626612834,0.0,0.0,0.26331958219959622,0.61441235846572462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 589 ,14027,5.132957866970842,0.071291081485706148,0.1425821629714123,1.996150281599772,3.4932629927996008,0.21387324445711842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 274 ,8747,0.22864982279638732,0.22864982279638732,0.11432491139819366,1.8291985823710986,1.7148736709729051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 170,11579,0.17272648760687453,0.086363243803437267,0.0,0.69090595042749814,1.2090854132481217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 460 ,8178,0.24455857177794083,0.0,0.0,0.61139642944485206,2.4455857177794083,0.36683785766691124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 811 ,5180,0.0,0.0,0.19305019305019305,0.5791505791505791,0.96525096525096532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 567,3371,0.0,0.0,0.0,3.2631266686443192,0.59329575793533085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 534 ,4714,2.1213406873143827,0.0,0.21213406873143825,0.21213406873143825,0.21213406873143825,0.21213406873143825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 812 ,3552,0.84459459459459463,0.0,0.28153153153153154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 736 ,2745,0.36429872495446264,0.36429872495446264,0.36429872495446264,1.4571948998178506,1.0928961748633881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 334,4447,0.44974139869574997,0.0,0.0,0.89948279739149994,0.44974139869574997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 378,26079,0.0,0.076690057134092562,0.076690057134092562,1.0736607998772958,0.38345028567046285,0.038345028567046281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 477 ,13358,0.67375355592154518,0.074861506213505014,0.0,0.67375355592154518,0.59889204970804011,0.22458451864051507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 103 ,781,0.0,1.2804097311139564,0.0,6.4020486555697822,2.5608194622279128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 135 ,2875,0.0,0.34782608695652178,0.0,1.7391304347826089,0.34782608695652178,0.34782608695652178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 459,11923,0.16774301769688837,0.0,0.0,0.16774301769688837,0.6709720707875535,0.083871508848444187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 435 ,3583,0.0,0.27909572983533354,0.0,0.55819145967066708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 453 ,4558,0.0,0.0,0.0,0.65818341377797285,1.0969723562966214,0.0,0.0,0.0,0.43878894251864853,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 513 ,4177,0.71821881733301418,0.23940627244433804,0.0,1.6758439071103661,0.0,0.23940627244433804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 433,14626,0.13674278681799537,0.0,0.13674278681799537,0.20511418022699301,0.20511418022699301,0.068371393408997685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 199 ,16042,0.12467273407305822,0.06233636703652911,0.31168183518264553,0.06233636703652911,0.12467273407305822,0.18700910110958732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 315,12368,0.3234152652005175,0.16170763260025875,0.3234152652005175,0.80853816300129366,2.7490297542043987,0.16170763260025875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 342,36750,0.78911564625850339,0.13605442176870747,0.435374149659864,0.46258503401360546,1.986394557823129,0.0272108843537415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 349,4761,0.4200798151648813,0.21003990758244065,0.0,0.21003990758244065,0.630119722747322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 317,8509,0.1175226231049477,0.23504524620989539,0.0,1.2927488541544248,0.47009049241979078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 283,10191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 168,1618,0.0,0.0,1.2360939431396785,3.0902348578491963,0.61804697156983923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 770,2730,0.36630036630036628,0.36630036630036628,0.36630036630036628,2.5641025641025643,4.02930402930403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 395,1117,0.89525514771709935,0.0,0.0,0.0,5.3715308863025966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 809,4020,0.0,0.0,0.24875621890547261,0.99502487562189046,1.2437810945273631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 569,1832,2.1834061135371177,0.0,0.0,1.6375545851528384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 118,3188,0.0,0.0,0.31367628607277287,1.8820577164366374,2.1957340025094103,0.62735257214554574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 813,26046,1.2285955616985336,1.2285955616985336,0.1151808339092375,0.53751055824310834,1.3053827843046917,0.076787222606158348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 737,3568,0.0,0.84080717488789247,0.0,2.522421524663677,0.2802690582959641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 623,3992,1.25250501002004,0.0,0.0,0.0,1.002004008016032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 180,773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
