CSZJJ,taisho_no,subject_wu,subject_wo,subject_ru,past_tense_yi,past_tense_xi,present_tense_jin,future_tense_dang,future_tense_danglai,char_count,is_indiginous,error
度世品經,T 292 (6),10,8,2,125,15,2,11,23,0,14072,0,
密迹經,T 310 (3),4,6,1,91,2,0,11,20,0,8539,0,
持心經,T 585 (1),35,24,3,169,22,1,5,52,0,17236,0,
持心經,T 585 (2),34,9,6,183,16,1,11,50,0,17324,0,
持心經,T 585 (3),30,22,0,112,11,2,11,32,0,14395,0,
持心經,T 585 (4),15,24,3,129,18,1,10,65,0,13748,0,
修行經,T 606 (1),16,6,0,54,16,2,6,39,0,13076,0,
修行經,T 606 (2),8,21,0,44,14,0,7,55,0,11185,0,
修行經,T 606 (3),30,21,1,67,14,3,14,55,0,15076,0,
修行經,T 606 (4),93,143,5,62,18,2,23,52,0,11559,0,
修行經,T 606 (5),19,28,2,52,44,0,13,57,0,13009,0,
修行經,T 606 (6),18,7,1,38,29,0,7,18,0,8357,0,
修行經,T 606 (7),21,23,9,35,6,10,9,24,0,11639,0,
漸備一切智經,T 285 (1),24,15,1,182,27,0,8,49,0,16630,0,
漸備一切智經,T 285 (2),3,8,0,64,32,0,5,7,0,7432,0,
漸備一切智經,T 285 (3),7,16,0,100,29,1,2,15,0,8955,0,
漸備一切智經,T 285 (4),4,4,1,192,14,0,3,28,0,18023,0,
漸備一切智經,T 285 (5),10,4,0,170,12,0,9,7,0,12683,0,
生經,T 154 (1),58,56,8,85,8,1,43,55,0,13807,0,
生經,T 154 (2),18,31,19,86,19,3,24,67,0,13263,0,
生經,T 154 (3),38,30,9,116,9,1,39,28,0,13293,0,
生經,T 154 (4),22,13,3,59,10,11,19,30,0,11809,0,
生經,T 154 (5),41,73,23,87,16,11,63,38,0,13874,0,
海龍王經,T 598 (1),14,28,1,164,24,0,10,11,0,11493,0,
海龍王經,T 598 (2),5,10,1,152,11,0,16,14,0,11491,0,
海龍王經,T 598 (3),32,19,11,153,25,1,10,45,0,12714,0,
海龍王經,T 598 (4),18,37,7,122,17,0,18,42,0,12404,0,
普超經,T 627 (1),18,19,3,194,22,2,21,44,0,12951,0,
普超經,T 627 (2),27,14,4,169,23,1,27,47,0,15319,0,
普超經,T 627 (3),55,33,11,169,24,1,22,85,0,14981,0,
維摩鞊經,T 477,8,14,0,137,3,1,19,35,0,13358,0,
阿惟越致遮經,T 266 (1),28,9,7,122,12,1,25,28,0,15557,0,
阿惟越致遮經,T 266 (2),41,29,3,166,24,1,31,31,0,18031,0,
阿惟越致遮經,T 266 (3),16,15,3,69,9,0,30,54,0,12265,0,
嚴淨佛土經,T 318 (1),7,26,5,62,9,0,18,31,0,10255,0,
嚴淨佛土經,T 318 (2),20,28,2,85,13,2,19,40,0,10677,0,
阿耨達經,T 635 (1),6,8,3,100,26,0,2,30,0,9316,0,
阿耨達經,T 635 (2),10,19,4,107,7,0,1,20,0,8552,0,
阿耨達經,T 635 (3),11,4,1,88,9,0,2,25,0,9016,0,
阿耨達經,T 635 (4),12,5,2,79,14,0,9,36,0,7868,0,
寶藏經,T 461 (1),23,52,5,103,12,4,12,21,0,13270,0,
寶藏經,T 461 (2),34,104,10,138,44,1,13,36,0,12756,0,
要集經,T 810 (1),17,25,8,149,15,0,10,53,0,12660,0,
要集經,T 810 (2),26,36,3,216,6,0,30,56,0,15782,0,
等集眾德三昧經,T 381 (1),5,10,1,59,18,1,8,33,0,9739,0,
等集眾德三昧經,T 381 (2),13,15,0,105,9,1,14,28,0,9464,0,
等集眾德三昧經,T 381 (3),8,13,2,100,32,0,2,55,0,9372,0,
離垢施女經,T 338,15,35,5,109,12,0,18,40,0,14860,0,
郁迦長者經,T 323,9,107,5,128,19,0,7,181,0,14203,0,
大淨法門經,T 817 ,38,34,24,94,36,1,23,49,0,16875,0,
須真天子經,T 588 (1),2,3,1,69,62,0,2,7,0,8469,0,
須真天子經,T 588 (2),7,10,0,46,14,0,0,1,0,6789,0,
須真天子經,T 588 (3),2,7,0,48,39,0,0,10,0,9356,0,
須真天子經,T 588 (4),3,4,0,26,15,0,2,9,0,6192,0,
幻士仁賢經,T 324 ,3,40,4,72,21,1,31,22,0,11393,0,
魔逆經,T 589 ,33,27,2,97,12,0,15,44,0,14027,0,
濟諸方等經,T 274 ,15,9,0,94,13,0,8,50,0,8747,0,
德光太子經,T 170,11,65,8,115,16,0,26,56,0,11579,0,
文殊師利淨律經,T 460 ,10,10,3,63,11,0,3,17,0,8178,0,
決總持經,T 811 ,1,3,2,34,10,0,8,17,0,5180,0,
寶女經,T 399 (1),8,17,2,105,10,0,6,9,0,9809,0,
寶女經,T 399 (2),10,4,2,60,4,0,4,19,0,7919,0,
寶女經,T 399 (3),1,4,0,187,40,0,1,19,0,10481,0,
寶女經,T 399 (4),7,7,5,70,4,0,5,17,0,7906,0,
如來興顯經,T 291 (1),4,2,0,125,14,0,17,11,0,8843,0,
如來興顯經,T 291 (2),1,5,0,105,16,1,3,10,0,10707,0,
如來興顯經,T 291 (3),9,8,0,129,9,0,3,21,0,10282,0,
如來興顯經,T 291 (4),8,6,0,158,9,0,6,24,0,10195,0,
首意女經,T 567,6,5,10,15,3,1,3,5,0,3371,0,
月明童子經,T 534 ,16,20,6,24,13,3,13,20,0,4714,0,
五十緣身行,T 812 ,0,4,0,28,3,0,0,5,0,3552,0,
四自侵經,T 736 ,1,2,1,5,5,0,2,14,0,2745,0,
須摩經,T 334,1,22,5,19,4,0,9,25,0,4447,0,
方等泥洹經,T 378 (1),13,96,23,88,34,0,65,69,0,14023,0,
方等泥洹經,T 378 (2),3,38,13,190,36,0,16,41,0,12056,0,
大善權經,T 345 (1),27,18,3,63,23,2,8,34,0,9398,0,
大善權經,T 345 (2),25,10,6,44,12,5,13,46,0,8068,0,
無言童子經,T 401 (1),13,9,3,92,20,1,7,26,0,10942,0,
無言童子經,T 401 (2),26,28,7,141,2,2,15,40,0,12850,0,
頂王經,T 477 ,8,14,0,137,3,1,19,35,0,13358,0,
聖法印經,T 103 ,2,3,1,6,1,0,0,1,0,781,0,
移山經,T 135 ,6,5,5,20,5,1,5,22,0,2875,0,
文殊師利五體悔過經,T 459,31,19,0,182,24,0,18,44,0,11923,0,
持人菩薩經,T 481 (1),4,4,0,113,4,4,10,17,0,8046,0,
持人菩薩經,T 481 (2),1,9,0,98,10,0,9,15,0,7810,0,
持人菩薩經,T 481 (3),2,9,0,72,10,0,3,10,0,6553,0,
持人菩薩經,T 481 (4),2,4,5,98,7,0,5,20,0,7599,0,
滅十方冥經,T 435 ,1,7,3,24,5,0,15,20,0,3583,0,
彌勒成佛經,T 453 ,2,30,6,39,12,1,17,24,0,4558,0,
琉璃王經,T 513 ,8,7,2,11,5,0,2,16,0,4177,0,
寶罔童子經,T 433,12,13,1,191,18,0,14,42,0,14626,0,
順權方便經,T 565 (1),13,23,2,58,12,1,15,9,0,8602,0,
順權方便經,T 565 (2),6,33,2,67,18,0,24,31,0,9728,0,
五百弟子本起經,T 199 ,23,193,3,64,49,19,22,34,0,16042,0,
普門經,T 315,9,17,1,82,17,1,11,29,0,12368,0,
如幻三昧經,T 342 (1),28,42,13,236,21,4,23,55,0,18568,0,
如幻三昧經,T 342 (2),43,53,1,147,7,0,18,62,0,18182,0,
彌勒本願經,T 349,0,28,2,35,13,0,2,10,0,4761,0,
胞胎經,T 317,5,10,2,38,0,0,3,39,0,8509,0,
十地經,T 283,0,96,7,0,37,0,0,67,0,10191,0,
太子慕魄經,T 168,0,17,2,3,4,1,5,16,0,1618,0,
四不可得經,T 770,8,5,0,11,1,0,4,3,0,2730,0,
當來變經,T 395,1,0,0,7,2,0,0,3,0,1117,0,
乳光經,T 809,0,42,7,8,10,1,9,26,0,4020,0,
心明女梵志婦飯汁施經,T 569,2,2,0,9,2,0,3,4,0,1832,0,
鴦掘摩經,T 118,8,13,5,13,9,1,11,10,0,3188,0,
摩調王經,T 152 (87),10,1,0,8,0,1,3,7,0,1703,0,
象出經,T 813,25,24,4,131,17,1,23,42,0,13023,0,
所欲致患經,T 737,4,2,2,46,3,0,3,3,0,3568,0,
獨證自誓三昧經,T 623,4,5,8,26,6,2,7,14,0,3992,0,
過去佛分衛經,T 180,0,11,0,4,2,0,3,5,0,773,0,
阿差末經,T 403 (1),5,7,1,87,16,1,6,12,0,7983,0,
阿差末經,T 403 (2),7,14,0,41,6,0,1,15,0,8307,0,
阿差末經,T 403 (3),4,7,0,84,15,0,2,6,0,7588,0,
阿差末經,T 403 (4),1,10,0,77,12,0,6,10,0,7968,0,
阿差末經,T 403 (5),3,3,0,66,4,3,1,17,0,6997,0,
阿差末經,T 403 (6),12,10,0,62,11,0,0,19,0,7430,0,
阿差末經,T 403 (7),9,20,3,67,5,1,11,22,0,6251,0,
無極寶經,T 636 (1),1,30,5,89,19,2,17,48,0,10247,0,
無極寶經,T 636 (2),1,15,0,97,12,1,11,42,0,8611,0,
阿述達經,T 337,3,23,8,39,6,1,9,42,0,11393,0,
等目菩薩經,T 288 (1),8,2,6,154,11,0,5,21,0,9188,0,
等目菩薩經,T 288 (2),1,3,0,163,9,0,1,16,0,8692,0,
等目菩薩經,T 288 (3),1,9,0,237,2,0,0,9,0,11909,0,
迦葉本經,T 496,7,10,4,25,4,0,17,17,0,2898,0,
龍施經,T 558,2,12,3,10,7,0,19,7,0,2630,0,
鹿母經,T 182,4,7,7,0,1,2,5,6,0,1689,0,
超日明經,T 638 (1),14,24,0,96,16,0,2,7,0,17304,0,
超日明經,T 638 (2),15,23,0,61,22,0,7,24,0,13819,0,
樓炭經,T 23 (1),0,17,1,42,44,0,6,5,0,8867,0,
樓炭經,T 23 (2),0,34,18,12,30,5,8,25,0,10019,0,
樓炭經,T 23 (3),0,82,10,43,8,0,15,21,0,10765,0,
樓炭經,T 23 (4),0,28,5,58,14,4,12,7,0,10654,0,
樓炭經,T 23 (5),1,26,1,98,11,6,2,32,0,8566,0,
樓炭經,T 23 (6),0,16,1,13,14,3,4,11,0,8460,0,
法句本末經,T 211 (1),32,29,18,60,34,33,31,64,0,16494,0,
法句本末經,T 211 (2),20,28,9,39,23,19,37,40,0,12129,0,
法句本末經,T 211 (3),17,51,20,40,32,26,29,41,0,14930,0,
法句本末經,T 211 (4),10,28,12,35,31,17,22,31,0,11712,0,
福田經,T 683,2,15,2,7,6,1,4,4,0,3543,0,
摩訶鉢羅若波羅蜜經抄,T 226 (1),0,40,1,33,17,0,6,77,0,10224,0,
摩訶鉢羅若波羅蜜經抄,T 226 (2),0,32,1,36,16,1,15,57,0,12459,0,
摩訶鉢羅若波羅蜜經抄,T 226 (3),0,12,0,40,19,0,16,53,0,10685,0,
摩訶鉢羅若波羅蜜經抄,T 226 (4),0,38,2,28,15,0,21,59,0,12722,0,
摩訶鉢羅若波羅蜜經抄,T 226 (5),0,49,0,24,12,0,7,66,0,10315,0,
雜阿毘曇毘婆沙,T 1547 (1),1,31,4,15,71,0,4,49,0,11929,0,
雜阿毘曇毘婆沙,T 1547 (2),0,33,2,26,79,0,3,22,0,13670,0,
雜阿毘曇毘婆沙,T 1547 (3),0,38,13,26,64,0,3,41,0,15367,0,
雜阿毘曇毘婆沙,T 1547 (4),0,35,17,23,134,1,9,82,0,15791,0,
雜阿毘曇毘婆沙,T 1547 (5),0,24,0,11,24,0,8,26,0,11173,0,
雜阿毘曇毘婆沙,T 1547 (6),1,30,6,29,55,0,6,32,0,13640,0,
雜阿毘曇毘婆沙,T 1547 (7),0,71,7,4,66,0,7,68,0,15388,0,
雜阿毘曇毘婆沙,T 1547 (8),0,35,7,17,47,0,2,38,0,11117,0,
雜阿毘曇毘婆沙,T 1547 (9),0,74,13,34,92,2,1,87,0,12030,0,
雜阿毘曇毘婆沙,T 1547 (10),0,7,1,21,135,0,0,57,0,13918,0,
雜阿毘曇毘婆沙,T 1547 (11),0,42,15,30,117,0,6,66,0,16820,0,
雜阿毘曇毘婆沙,T 1547 (12),0,34,10,26,111,0,2,95,0,15615,0,
雜阿毘曇毘婆沙,T 1547 (13),0,59,8,13,31,6,6,78,0,12530,0,
雜阿毘曇毘婆沙,T 1547 (14),0,44,8,39,87,0,8,51,0,12763,0,
婆須蜜,T 1549 (1),5,48,9,68,31,0,23,75,0,15259,0,
婆須蜜,T 1549 (2),4,23,2,86,39,3,15,91,0,14621,0,
婆須蜜,T 1549 (3),6,32,5,74,10,1,4,63,0,14540,0,
婆須蜜,T 1549 (4),9,27,5,90,16,0,5,72,0,15629,0,
婆須蜜,T 1549 (5),2,27,6,66,18,5,10,197,0,18776,0,
婆須蜜,T 1549 (6),4,73,11,64,18,5,4,38,0,10731,0,
婆須蜜,T 1549 (7),16,57,1,66,29,0,2,42,0,11043,0,
婆須蜜,T 1549 (8),1,33,4,123,59,5,32,174,0,24130,0,
婆須蜜,T 1549 (9),1,12,0,149,19,2,8,71,0,14656,0,
婆須蜜,T 1549 (10),0,38,5,121,48,1,6,17,0,14634,0,
僧伽羅剎集經,T 194 (1),3,58,4,66,39,5,27,47,0,13667,0,
僧伽羅剎集經,T 194 (2),0,12,0,115,49,4,13,40,0,16831,0,
僧伽羅剎集經,T 194 (3),1,98,21,83,50,1,62,102,0,17904,0,
四阿鋡暮抄經,T 1505 (1),1,43,1,0,44,0,4,51,0,18317,0,
四阿鋡暮抄經,T 1505 (2),1,34,1,10,46,0,4,19,0,17435,0,
增一阿鋡經,T 125 (1),13,22,7,110,15,3,32,98,0,8782,0,
增一阿鋡經,T 125 (2),10,10,10,200,33,0,5,80,0,6149,0,
增一阿鋡經,T 125 (3),0,29,1,62,3,0,3,24,0,8171,0,
增一阿鋡經,T 125 (4),2,20,15,125,43,2,14,68,0,7882,0,
增一阿鋡經,T 125 (5),7,87,15,102,57,0,13,59,0,9178,0,
增一阿鋡經,T 125 (6),7,66,18,42,25,3,28,43,0,9105,0,
增一阿鋡經,T 125 (7),9,53,17,178,70,3,32,89,0,13077,0,
增一阿鋡經,T 125 (8),10,43,18,77,23,2,38,48,0,8444,0,
增一阿鋡經,T 125 (9),10,40,34,74,33,2,30,58,0,11178,0,
增一阿鋡經,T 125 (10),1,48,9,58,33,1,26,33,0,6925,0,
增一阿鋡經,T 125 (11),11,62,21,89,44,1,45,60,0,9490,0,
增一阿鋡經,T 125 (12),2,34,9,108,8,0,21,83,0,13667,0,
增一阿鋡經,T 125 (13),6,75,13,63,31,2,46,55,0,11342,0,
增一阿鋡經,T 125 (14),17,80,30,48,40,5,50,51,0,9578,0,
增一阿鋡經,T 125 (15),25,54,28,32,35,1,36,64,0,9169,0,
增一阿鋡經,T 125 (16),14,89,32,79,32,2,71,80,0,11291,0,
增一阿鋡經,T 125 (17),0,39,1,68,23,1,15,50,0,8199,0,
增一阿鋡經,T 125 (18),1,69,15,88,34,2,65,83,0,11138,0,
增一阿鋡經,T 125 (19),2,40,13,79,28,0,35,61,0,10464,0,
增一阿鋡經,T 125 (20),0,84,48,38,53,1,59,75,0,14425,0,
增一阿鋡經,T 125 (21),1,19,6,67,4,6,27,51,0,7514,0,
增一阿鋡經,T 125 (22),2,54,38,58,30,1,51,41,0,11794,0,
增一阿鋡經,T 125 (23),8,179,23,104,55,9,72,93,0,15540,0,
增一阿鋡經,T 125 (24),1,74,47,65,46,1,86,119,0,15026,0,
增一阿鋡經,T 125 (25),5,55,13,67,45,2,72,76,0,14590,0,
增一阿鋡經,T 125 (26),12,77,42,131,45,8,85,103,0,17156,0,
增一阿鋡經,T 125 (27),2,46,28,45,26,0,42,53,0,7800,0,
增一阿鋡經,T 125 (28),7,94,24,68,14,1,88,72,0,11549,0,
增一阿鋡經,T 125 (29),7,31,24,46,19,0,35,41,0,7768,0,
增一阿鋡經,T 125 (30),1,85,38,33,10,0,58,43,0,9091,0,
增一阿鋡經,T 125 (31),9,81,28,43,33,4,65,57,0,10260,0,
增一阿鋡經,T 125 (32),11,66,32,59,37,2,59,70,0,10612,0,
增一阿鋡經,T 125 (33),12,24,30,57,48,1,58,86,0,13178,0,
